UID,Name,Address,Rating,Hey,Bruh
001,Motion Fitness Brighton,#DOGES@153 Gibson Bnd, Saskatoon, SK S7V 0P1, Canada@DOGEE#,4.4, I'm the accidentally new attribute in it ,
002,Anytime Fitness,#DOGES@1804 McOrmond Dr #160, Saskatoon, SK S7S 0A6, Canada@DOGEE#,4.4,,
003,Point Fitness Club (Open 24 Hours - No Contract),#DOGES@1200 Central Ave, Saskatoon, SK S7N 2H2, Canada@DOGEE#,4,,
004,GoodLife Fitness Saskatoon The Centre,#DOGES@3510 8 St E, Saskatoon, SK S7H 0W6, Canada@DOGEE#,4.2,What??@##@,
005,Anytime Fitness,#DOGES@120 Tweed Ln, Saskatoon, SK S7V 0K1, Canada@DOGEE#,4.4,,I am another attribute
006,Snap Fitness Saskatoon,#DOGES@420 Duchess St #4, Saskatoon, SK S7K 0R1, Canada@DOGEE#,4.9,,
007,Snap Fitness,#DOGES@210 Slimmon Rd #80, Saskatoon, SK S7V 0A7, Canada@DOGEE#,4.9,,
008,Motion Fitness Lawson Heights,#DOGES@134 Primrose Dr, Saskatoon, SK S7K 5S6, Canada@DOGEE#,4.6,,
009,Anytime Fitness,#DOGES@250 Hunter Rd #140, Saskatoon, SK S7T 0Y4, Canada@DOGEE#,4.2,,
010,Fitness Focus Saskatoon,#DOGES@1250 Ontario Ave, Saskatoon, SK S7K 1S5, Canada@DOGEE#,4.9,,
011,GoodLife Fitness Saskatoon Preston Crossing,#DOGES@1705 Preston Ave N, Saskatoon, SK S7H 2V7, Canada@DOGEE#,4.2,,
012,Planet Fitness,#DOGES@2325 Preston Ave S, Saskatoon, SK S7J 2G2, Canada@DOGEE#,4.1,,
013,Flex Fitness,#DOGES@320 Jessop Ave #5, Saskatoon, SK S7N 1Y6, Canada@DOGEE#,5,, Whatttt?oooo
014,Maxx-Out Muscle & Fitness,#DOGES@625A 1st Ave N, Saskatoon, SK S7K 1X7, Canada@DOGEE#,4.9,,
015,Planet Fitness,#DOGES@810 Circle Dr E, Saskatoon, SK S7K 3T8, Canada@DOGEE#,4.3,,
016,Motion Fitness Stonebridge,#DOGES@3110 Clarence Ave S, Saskatoon, SK S7T 0C9, Canada@DOGEE#,4.1,,
017,THRIVE ACTIVE SASKATOON,#DOGES@431 Nelson Rd, Saskatoon, SK S7S 1P2, Canada@DOGEE#,4.9,,
018,Mpowered Fitness,#DOGES@701 Broadway Ave, Saskatoon, SK S7N 1B3, Canada@DOGEE#,4.8,,
019,Iron Works Gym,#DOGES@2105 8 St E #30, Saskatoon, SK S7H 0T8, Canada@DOGEE#,4.8,,
020,Next Level Training Strength Systems Inc.,#DOGES@200 Jessop Ave, Saskatoon, SK S7N 1Y4, Canada@DOGEE#,5,,
021,Rise Strength Lab,#DOGES@2630 Jasper Ave S, Saskatoon, SK S7J 2K2, Canada@DOGEE#,5,,
022,Split Fitness Studio,#DOGES@211 Evergreen Square #25, Saskatoon, SK S7W 0Z2, Canada@DOGEE#,5,,
023,Fit4Less,#DOGES@301 Confederation Dr Unit #4, Saskatoon, SK S7L 5C3, Canada@DOGEE#,4,,
024,Lakewood Civic Centre,#DOGES@1635 McKercher Dr, Saskatoon, SK S7H 5J9, Canada@DOGEE#,4,,
025,Anytime Fitness,#DOGES@300 Confederation Dr, Saskatoon, SK S7L 4R6, Canada@DOGEE#,3.7,,
026,Raw Fitness,#DOGES@616 Duchess St, Saskatoon, SK S7K 0R1, Canada@DOGEE#,5,,
027,Barbarian Strength Gym,#DOGES@2302 Hanselman Ave, Saskatoon, SK S7L 5Z3, Canada@DOGEE#,5,,
028,YMCA Saskatoon,#DOGES@25 22 St E, Saskatoon, SK S7K 0C7, Canada@DOGEE#,4.4,,
029,Fitness For 10,#DOGES@2414 8 St E, Saskatoon, SK S7H 0V6, Canada@DOGEE#,5,,
030,True North Kickboxing,#DOGES@1844 McOrmond Dr #106, Saskatoon, SK S7S 0A5, Canada@DOGEE#,5,,
031,CrossFit BRIO,#DOGES@310 Jessop Ave, Saskatoon, SK S7N 1Y6, Canada@DOGEE#,5,,
032,Motion Fitness Blairmore,#DOGES@320 Shillington Cres, Saskatoon, SK S7M 1L2, Canada@DOGEE#,4.3,,
033,Lawson Civic Centre,#DOGES@225 Primrose Dr, Saskatoon, SK S7K 5W1, Canada@DOGEE#,4.2,,
034,ProActive Fitness,#DOGES@3602 Taylor St E #5, Saskatoon, SK S7H 5H9, Canada@DOGEE#,4.9,,
035,Vibrant Bodies Fitness,#DOGES@2020 College Dr, Saskatoon, SK S7N 2W4, Canada@DOGEE#,5,,
036,Synergy Strength & Sports Therapy,#DOGES@103 Marquis Ct #112, Saskatoon, SK S7P 0C4, Canada@DOGEE#,4.9,,
037,Lifecycle,#DOGES@120 Hawkins Crois. #10, Saskatoon, SK S7V 1T5, Canada@DOGEE#,4.9,,
038,Fit By Carla,#DOGES@1305 Broadway Ave B, Saskatoon, SK S7H 2A5, Canada@DOGEE#,5,,
039,Oxygen Yoga & Fitness Saskatoon,#DOGES@1260 Baltzan Blvd Unit 100, Saskatoon, SK S7W 1E8, Canada@DOGEE#,5,,
040,CrossFit Ashlar,#DOGES@368 Edson St #10, Saskatoon, SK S7J 0P9, Canada@DOGEE#,5,,
041,Adult Fitness Circuit,#DOGES@Riversdale, Saskatoon, SK S7M 1N6, Canada@DOGEE#,4.6,,
042,PEAK Climb + HIIT Studio,#DOGES@481 2nd Ave N, Saskatoon, SK S7J 2C1, Canada@DOGEE#,4.9,,
043,F45 Training Lakewood SC,#DOGES@117 Slimmon Rd, Saskatoon, SK S7V 0B8, Canada@DOGEE#,4.7,,
044,Supplement World University Heights,#DOGES@402 Ludlow St #1, Saskatoon, SK S7M 1N7, Canada@DOGEE#,4.9,,
045,Grip It Climbing,#DOGES@501 23 St W, Saskatoon, SK S7L 0A4, Canada@DOGEE#,4.8,,
046,Ryde City Park - Ryde YXE Cycle Studio,#DOGES@741 7 Ave N, Saskatoon, SK S7K 2V3, Canada@DOGEE#,4.7,,
047,SUGIFIT TRAINING,#DOGES@1738 Quebec Ave #20, Saskatoon, SK S7K 1V9, Canada@DOGEE#,5,,
048,Orangetheory Fitness,#DOGES@311 Cope Ln Unit 102, Saskatoon, SK S7T 0G3, Canada@DOGEE#,4.6,,
049,Lead Integrated Health Therapies,#DOGES@214 Joseph Okemasis Dr 10 & 20, Saskatoon, SK S7N 1B1, Canada@DOGEE#,4.9,,
050,Be Well Studios,#DOGES@102 20th St W, Saskatoon, SK S7M 0W6, Canada@DOGEE#,5,,
051,Rhinos Fitness Studio,#DOGES@2605 Broadway Ave, Saskatoon, SK S7J 0Z5, Canada@DOGEE#,4.7,,
052,We Move SK,#DOGES@2325 Preston Ave, Outside entrance on, Mceown Ave Unit 175, Saskatoon, SK S7J 2G2, Canada@DOGEE#,4.8,,
053,Crossfit 306,#DOGES@3634 B Mitchelmore Ave, Saskatoon, SK S7P 0B9, Canada@DOGEE#,5,,
054,WUHCA Outdoor Rink,#DOGES@Willowgrove, Saskatoon, SK S7W 1A1, Canada@DOGEE#,5,,
055,SUGISPIN STUDIO,#DOGES@1738 Quebec Ave #26, Saskatoon, SK S7K 1V9, Canada@DOGEE#,5,,
056,First Nation Fitness,#DOGES@1 33rd St W, Saskatoon, SK S7L4S7, Canada@DOGEE#,N/A,,
057,Shaw Centre,#DOGES@122 Bowlt Crescent, Saskatoon, SK S7M 0L1, Canada@DOGEE#,4.3,,
058,CrossFit CL,#DOGES@815 45 St W #20, Saskatoon, SK S7L 5X2, Canada@DOGEE#,4.9,,
059,Local Barre Fitness,#DOGES@423 Avenue B S, Saskatoon, SK S7M 5N3, Canada@DOGEE#,5,,
060,FemaleStrongBody,#DOGES@Online, Saskatoon, SK S7K 4K1, Canada@DOGEE#,5,,
