UID,Name,Address,Rating
001,Motion Fitness Brighton,"153 Gibson Bnd, Saskatoon, SK S7V 0P1, Canada",4.4
002,Anytime Fitness,"1804 McOrmond Dr #160, Saskatoon, SK S7S 0A6, Canada",4.4
003,Point Fitness Club (Open 24 Hours - No Contract),"1200 Central Ave, Saskatoon, SK S7N 2H2, Canada",4
004,GoodLife Fitness Saskatoon The Centre,"3510 8 St E, Saskatoon, SK S7H 0W6, Canada",4.2
005,Anytime Fitness,"120 Tweed Ln, Saskatoon, SK S7V 0K1, Canada",4.4
006,Snap Fitness Saskatoon,"420 Duchess St #4, Saskatoon, SK S7K 0R1, Canada",4.9
007,Snap Fitness,"210 Slimmon Rd #80, Saskatoon, SK S7V 0A7, Canada",4.9
008,Motion Fitness Lawson Heights,"134 Primrose Dr, Saskatoon, SK S7K 5S6, Canada",4.6
009,Anytime Fitness,"250 Hunter Rd #140, Saskatoon, SK S7T 0Y4, Canada",4.2
010,Fitness Focus Saskatoon,"1250 Ontario Ave, Saskatoon, SK S7K 1S5, Canada",4.9
011,GoodLife Fitness Saskatoon Preston Crossing,"1705 Preston Ave N, Saskatoon, SK S7H 2V7, Canada",4.2
012,Planet Fitness,"2325 Preston Ave S, Saskatoon, SK S7J 2G2, Canada",4.1
013,Flex Fitness,"320 Jessop Ave #5, Saskatoon, SK S7N 1Y6, Canada",5
014,Maxx-Out Muscle & Fitness,"625A 1st Ave N, Saskatoon, SK S7K 1X7, Canada",4.9
015,Planet Fitness,"810 Circle Dr E, Saskatoon, SK S7K 3T8, Canada",4.3
016,Motion Fitness Stonebridge,"3110 Clarence Ave S, Saskatoon, SK S7T 0C9, Canada",4.1
017,THRIVE ACTIVE SASKATOON,"431 Nelson Rd, Saskatoon, SK S7S 1P2, Canada",4.9
018,Mpowered Fitness,"701 Broadway Ave, Saskatoon, SK S7N 1B3, Canada",4.8
019,Iron Works Gym,"2105 8 St E #30, Saskatoon, SK S7H 0T8, Canada",4.8
020,Next Level Training Strength Systems Inc.,"200 Jessop Ave, Saskatoon, SK S7N 1Y4, Canada",5
021,Rise Strength Lab,"2630 Jasper Ave S, Saskatoon, SK S7J 2K2, Canada",5
022,Split Fitness Studio,"211 Evergreen Square #25, Saskatoon, SK S7W 0Z2, Canada",5
023,Fit4Less,"301 Confederation Dr Unit #4, Saskatoon, SK S7L 5C3, Canada",4
024,Lakewood Civic Centre,"1635 McKercher Dr, Saskatoon, SK S7H 5J9, Canada",4
025,Anytime Fitness,"300 Confederation Dr, Saskatoon, SK S7L 4R6, Canada",3.7
026,Raw Fitness,"616 Duchess St, Saskatoon, SK S7K 0R1, Canada",5
027,Barbarian Strength Gym,"2302 Hanselman Ave, Saskatoon, SK S7L 5Z3, Canada",5
028,YMCA Saskatoon,"25 22 St E, Saskatoon, SK S7K 0C7, Canada",4.4
029,Fitness For 10,"2414 8 St E, Saskatoon, SK S7H 0V6, Canada",5
030,True North Kickboxing,"1844 McOrmond Dr #106, Saskatoon, SK S7S 0A5, Canada",5
031,CrossFit BRIO,"310 Jessop Ave, Saskatoon, SK S7N 1Y6, Canada",5
032,Motion Fitness Blairmore,"320 Shillington Cres, Saskatoon, SK S7M 1L2, Canada",4.3
033,Lawson Civic Centre,"225 Primrose Dr, Saskatoon, SK S7K 5W1, Canada",4.2
034,ProActive Fitness,"3602 Taylor St E #5, Saskatoon, SK S7H 5H9, Canada",4.9
035,Vibrant Bodies Fitness,"2020 College Dr, Saskatoon, SK S7N 2W4, Canada",5
036,Synergy Strength & Sports Therapy,"103 Marquis Ct #112, Saskatoon, SK S7P 0C4, Canada",4.9
037,Lifecycle,"120 Hawkins Crois. #10, Saskatoon, SK S7V 1T5, Canada",4.9
038,Fit By Carla,"1305 Broadway Ave B, Saskatoon, SK S7H 2A5, Canada",5
039,Oxygen Yoga & Fitness Saskatoon,"1260 Baltzan Blvd Unit 100, Saskatoon, SK S7W 1E8, Canada",5
040,CrossFit Ashlar,"368 Edson St #10, Saskatoon, SK S7J 0P9, Canada",5
041,Adult Fitness Circuit,"Riversdale, Saskatoon, SK S7M 1N6, Canada",4.6
042,PEAK Climb + HIIT Studio,"481 2nd Ave N, Saskatoon, SK S7J 2C1, Canada",4.9
043,F45 Training Lakewood SC,"117 Slimmon Rd, Saskatoon, SK S7V 0B8, Canada",4.7
044,Supplement World University Heights,"402 Ludlow St #1, Saskatoon, SK S7M 1N7, Canada",4.9
045,Grip It Climbing,"501 23 St W, Saskatoon, SK S7L 0A4, Canada",4.8
046,Ryde City Park - Ryde YXE Cycle Studio,"741 7 Ave N, Saskatoon, SK S7K 2V3, Canada",4.7
047,SUGIFIT TRAINING,"1738 Quebec Ave #20, Saskatoon, SK S7K 1V9, Canada",5
048,Orangetheory Fitness,"311 Cope Ln Unit 102, Saskatoon, SK S7T 0G3, Canada",4.6
049,Lead Integrated Health Therapies,"214 Joseph Okemasis Dr 10 & 20, Saskatoon, SK S7N 1B1, Canada",4.9
050,Be Well Studios,"102 20th St W, Saskatoon, SK S7M 0W6, Canada",5
051,Rhinos Fitness Studio,"2605 Broadway Ave, Saskatoon, SK S7J 0Z5, Canada",4.7
052,We Move SK,"2325 Preston Ave, Outside entrance on, Mceown Ave Unit 175, Saskatoon, SK S7J 2G2, Canada",4.8
053,Crossfit 306,"3634 B Mitchelmore Ave, Saskatoon, SK S7P 0B9, Canada",5
054,WUHCA Outdoor Rink,"Willowgrove, Saskatoon, SK S7W 1A1, Canada",5
055,SUGISPIN STUDIO,"1738 Quebec Ave #26, Saskatoon, SK S7K 1V9, Canada",5
056,First Nation Fitness,"1 33rd St W, Saskatoon, SK S7L4S7, Canada",N/A
057,Shaw Centre,"122 Bowlt Crescent, Saskatoon, SK S7M 0L1, Canada",4.3
058,CrossFit CL,"815 45 St W #20, Saskatoon, SK S7L 5X2, Canada",4.9
059,Local Barre Fitness,"423 Avenue B S, Saskatoon, SK S7M 5N3, Canada",5
060,FemaleStrongBody,"Online, Saskatoon, SK S7K 4K1, Canada",5
